地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,7.62,7.62,7.44,7.61,7.57,5.26,5.57,6.15,6.21,5.60
天津市,15.39,16.02,16.71,18.74,17.88,17.05,14.89,13.76,14.39,11.94
河北省,18.91,18.65,18.49,18.22,17.84,17.84,17.35,15.32,14.49,13.59
山西省,14.77,13.52,13.34,12.88,11.79,11.21,10.66,10.02,9.54,8.55
内蒙古自治区,23.45,22.61,21.10,19.69,17.67,15.77,14.89,13.62,12.76,12.23
辽宁省,13.01,13.43,12.75,12.09,11.55,11.27,11.19,10.41,9.95,9.61
吉林省,14.98,14.52,14.62,13.61,12.61,11.90,12.39,10.94,10.39,9.56
黑龙江省,13.71,13.14,13.32,13.15,11.83,11.20,10.00,9.39,9.28,8.73
上海市,4.37,4.27,4.11,4.11,4.08,4.04,4.04,4.48,4.63,4.50
江苏省,25.37,24.42,23.89,23.22,22.35,21.86,21.26,20.42,20.28,19.28
浙江省,17.73,18.12,18.40,17.83,17.88,17.53,16.70,16.03,15.20,14.60
安徽省,21.82,20.82,20.33,19.61,18.47,18.00,16.01,14.91,14.15,13.55
福建省,14.41,13.80,13.61,13.40,14.13,13.46,12.58,12.58,12.05,10.98
江西省,17.33,16.60,15.77,15.26,14.99,14.40,13.77,12.10,11.06,10.50
山东省,24.65,25.82,25.77,25.34,24.70,23.62,22.23,20.94,19.60,18.66
河南省,12.97,12.06,11.67,11.57,11.08,10.83,10.25,10.44,9.90,10.81
湖北省,16.14,16.15,16.57,15.85,15.85,14.78,14.08,13.84,13.03,12.76
湖南省,14.59,14.27,13.76,13.80,13.49,13.62,12.95,12.59,12.01,11.41
广东省,13.05,13.60,13.20,13.11,13.42,12.51,12.69,12.63,11.65,9.44
广西壮族自治区,17.06,16.28,15.75,15.53,14.74,14.34,14.31,13.98,11.83,11.28
海南省,17.75,17.37,17.97,18.72,18.85,18.42,13.81,13.28,12.05,12.50
重庆市,12.23,12.05,11.68,11.23,10.67,10.43,9.37,9.78,9.49,9.16
四川省,13.73,13.63,13.32,13.24,12.72,12.14,11.84,11.50,10.78,10.33
贵州省,12.11,11.22,10.33,9.58,6.80,6.63,6.65,6.29,6.22,6.21
云南省,15.76,14.23,17.12,12.29,11.92,11.97,10.90,10.00,12.09,9.28
西藏自治区,16.82,24.98,14.44,13.19,14.22,13.48,13.25,13.32,13.46,15.51
陕西省,15.42,15.67,15.38,14.74,14.71,13.72,13.38,12.86,12.67,11.58
甘肃省,15.42,15.18,15.30,14.02,12.56,12.58,12.20,11.29,10.37,9.83
青海省,11.04,10.63,11.08,10.90,11.17,11.22,11.42,11.47,11.16,10.53
宁夏回族自治区,23.11,22.52,23.16,18.81,17.56,17.90,17.35,16.57,14.82,17.16
新疆维吾尔自治区,18.35,17.69,16.46,15.69,14.16,13.74,13.19,12.55,12.47,13.32
数据来源：国家统计局
